ST-CD	YEAR	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	ANNUAL
AL-01	1974	11.21	6.3	4.06	4.45	7.36	4.2	4.35	4.13	4.27	1.56	4.62	6.97	63.49
AL-01	1975	6.3	5.49	12.65	3.18	5.45	4.12	6.79	4.04	6.79	7.96	3.61	3.62	69.99
AL-01	1976	4.3	3.75	7.14	1.4	6.1	5.7	4.14	2.63	4.34	4.55	2.47	3.52	50.02
AL-01	1977	3.71	3.56	9.05	7.06	2.58	3.12	2.75	2.28	8.54	5	9.35	2.61	59.61
AL-01	1978	4.17	0.78	4.59	2.8	7.62	3.95	3.95	2.83	2.06	1.29	3.81	7.14	44.99
AL-01	1979	7.42	4.47	5.13	8.15	5.23	2.76	6.29	4.81	7.49	2.59	7.18	2.66	64.18
AL-01	1980	4.99	1.9	14.97	5.66	7.14	2.59	2.8	2.17	6.95	2.39	4.72	1.02	57.31
AL-01	1981	1.64	4	5.03	3.48	3.26	4.04	4.21	5.12	1.84	3.37	3.58	3.76	43.35
AL-01	1982	9.26	5.12	3.03	7.76	3.17	3.94	4.74	4.32	1.51	2.49	5.39	9.35	60.09
AL-01	1983	2.83	5.56	5.29	10.15	10.4	4.54	1.73	2.04	2.45	2.26	7.72	10.39	65.37
AL-01	1984	3.23	3.43	5.31	5.92	8.42	2.65	4.62	2.64	0.47	7.51	6.06	2.42	52.67
AL-01	1985	3.48	4.65	2.77	3.46	5.4	3.91	6.39	5.7	2.6	5.22	2.72	2.23	48.53
AL-01	1986	0.92	3.78	3.15	0.7	6.08	4.57	2.77	4.89	3.93	4.52	9.08	4.89	49.3
AL-01	1987	4.94	7.01	3.79	1.6	2.47	4.22	3.22	1.97	4.5	0.88	5	5.29	44.9
AL-01	1988	4.24	2.57	3.01	4.4	2.04	0.51	5	2.05	7.44	3.3	6.58	4.5	45.65
AL-01	1989	8.24	8.17	5.69	3.31	4.77	10.68	6.99	3.54	6.88	2.51	5.26	3.5	69.54
AL-01	1990	7.24	9.53	7.3	4.02	5.52	2.84	3.36	1.09	2.56	3.34	3.97	15.78	66.54
AL-01	1991	3.01	9.77	7.92	9.94	10.16	3.2	3.21	3.13	3.14	1.95	3.78	11.35	70.58
AL-01	1992	2.65	3.71	4.87	2.44	2	7.26	5.7	4.66	4.85	2.92	5.7	5.05	51.81
AL-01	1993	4.65	2.89	6.12	3.88	5.21	2.93	2.08	4.88	4.94	1.94	3.72	5.38	48.63
AL-01	1994	6.57	7.95	9.48	3.73	5.19	6.94	6.38	2.47	3.59	5.19	4.52	3.8	65.81
AL-01	1995	4.93	4.74	4.47	5.52	3.45	3.6	4.08	3.84	4.28	6.19	5.48	3.89	54.47
AL-01	1996	7.05	2.53	6.91	5.38	2.44	3.21	6.49	3.73	6.9	2.78	5.55	6	58.98
AL-01	1997	6.44	5.11	6.13	3.77	6.47	9.61	2.5	3.83	5.25	5.63	2.95	3.8	61.49
AL-01	1998	7.63	6.43	5.16	5.81	3.13	3.51	6.08	3.09	1	1.86	3.07	7.65	54.41
AL-01	1999	10.1	3.23	6.13	3.97	4.86	6.79	3.53	0.72	1.26	1.53	4.72	2.98	49.82
AL-01	2000	4.78	2.85	4.9	8.17	1.68	4.61	2.21	1.51	2.49	0.23	7.75	3.74	44.94
AL-01	2001	5.65	6.36	5.27	4.66	5.91	6.26	4.48	5.57	4.64	4.41	4.28	5.9	63.39
AL-01	2002	6.63	2.43	7.6	1.81	6.99	2.59	4.91	2.81	6.91	4.61	4.29	6.24	57.82
AL-01	2003	2.26	8.93	2.83	4.27	10.08	5.18	4.68	4.34	5.05	1.48	5.35	3.42	57.88
AL-01	2004	3.47	7.61	5.27	3.61	4.41	6.63	5.85	4.06	4.53	4.98	7.72	8.22	66.35
AL-01	2005	3.36	5.06	3.19	5.68	1.29	5.31	5.87	5.33	3.52	0.11	3.93	4.58	47.24
AL-01	2006	6.7	3.35	2.72	5.09	4.1	2.12	2.55	2.98	3.79	4.63	4.77	3.77	46.58
AL-01	2007	3.77	2.33	1.27	3.59	1.11	1.89	5.01	2	2.58	3.65	3.31	2.77	33.28
AL-01	2008	2.94	4.39	4.87	4.35	6.25	2.05	3.12	5	1.27	3.38	2.76	10.21	50.59
AL-01	2009	4.37	3.56	5.62	4.75	8.51	2.56	6.16	3.8	8.37	8.24	2.44	6.2	64.58
AL-01	2010	5.08	3.5	4.5	2.82	6.62	3.19	3.53	3.43	1.78	3.52	5.37	2.14	45.47
AL-01	2011	4.6	2.59	8.29	10.53	2.89	4.65	3.41	3.72	7.32	1.39	4.72	6.41	60.51
AL-01	2012	7.23	3.24	4.28	1.82	3.36	2.36	6.65	3.47	5.66	3.86	1.61	6.4	49.93
AL-01	2013	8.67	3.54	5.33	6.04	5.53	4.35	8.74	3.82	3.65	1.39	3.63	6.42	61.09
AL-01	2014	2.42	5.51	2.89	7.02	2.96	6.66	4.11	3.62	1.54	7.13	3.62	5.65	53.13
AL-01	2015	4.23	4.29	6.02	6.86	4.8	2.67	5.34	6.71	1.32	3.09	6.43	10.57	62.31
AL-01	2016	3.97	6.14	4.62	3.57	-999	-999	-999	-999	-999	-999	-999	-999	-999
AL-02	1895	7.71	2.44	7.38	3.87	4.26	4.03	5.67	5.17	2.17	2.05	2.17	3.91	50.84
AL-02	1896	3.46	4.93	5.12	3.96	3.82	3.49	5.3	1.84	2.3	1.3	5.2	1.09	41.82
AL-02	1897	4.41	4.64	11.06	4.19	3.3	1.68	4.67	3.17	0.23	1.88	1.6	7.12	47.95
AL-02	1898	5.38	1.06	3.68	4.84	0.83	3.22	6.01	4.91	4.03	5.77	3.89	2.73	46.33
AL-02	1899	5.42	6.95	10.34	4.15	2.23	2.5	5.74	3.23	0.76	2.26	3.51	6.38	53.47
AL-02	1900	3.98	6.3	5.78	10.35	2.74	9.89	4.79	2.85	4.33	6.4	4.52	4	65.93
AL-02	1901	5.89	3.1	7.34	5.3	5.56	2.55	3.14	10.91	4.99	0.83	1.91	8.25	59.77
AL-02	1902	4.34	5.26	8.17	2.84	1.82	1.61	2.28	3.05	3.74	3.25	4.47	5	45.84
AL-02	1903	3.2	11.92	5.98	3.55	5.97	3.75	4.21	3.51	0.76	2.57	2.45	2.06	49.95
AL-02	1904	3.86	2.19	5.34	2.68	3.32	3.25	4.67	5.03	1.24	0.72	3.78	4.86	40.95
AL-02	1905	4.81	7.49	3.33	4.13	5.79	5.61	4.06	4.75	2.1	4.65	1.72	6.45	54.88
AL-02	1906	4.53	1.82	9.32	1.32	4.02	3.89	8.85	5.04	8.5	4.01	3.41	4.5	59.22
AL-02	1907	1.9	4.56	3.29	4.63	7.78	2.96	4.64	3.05	6.7	1.66	5.35	3.91	50.42
AL-02	1908	3.79	6.4	4.71	4.43	5.45	2.3	4.24	3.76	2.14	1.73	1.25	7.79	47.99
AL-02	1909	3.3	8.02	9.81	6.67	5.65	9.08	4.21	2.94	2.51	2.52	1.28	4.58	60.57
AL-02	1910	3.63	4.52	1.11	2.67	6.08	7.38	6.78	2.97	2.63	3.31	1.29	3.37	45.73
AL-02	1911	5.05	4.53	2.31	8.78	2.5	4.01	6.37	4.4	2.14	4.09	4.66	7.47	56.3
AL-02	1912	4.67	4.97	9.56	8.19	4.26	4.9	5.44	5.74	3.68	2.23	1.22	5.77	60.64
AL-02	1913	7.44	6.2	6.3	2.1	4.66	3.42	3.74	3	5.92	1.91	1.46	3.86	50.02
AL-02	1914	2.3	3.64	3.66	4.99	1.56	2.59	4.9	6.91	2.77	2.82	2.75	6.38	45.27
AL-02	1915	5.19	4.12	3.05	0.77	5.41	3.08	5	6.51	5.17	4.2	4.45	6.67	53.62
AL-02	1916	5.23	3.24	2.61	2.91	4.56	4.22	13.81	2.52	1.9	1.67	2.78	4.66	50.11
AL-02	1917	6.96	5.97	11.67	4.12	3.63	4.26	5.65	5.1	3.95	2.16	1.39	1.48	56.34
AL-02	1918	8.63	2.72	0.91	7.41	3.09	4.55	3.97	1.47	4.2	9.05	4.02	3.9	53.91
AL-02	1919	6.24	5.14	6.85	2.37	5.16	4.79	4.8	5.83	0.4	5.9	4.09	5.71	57.3
AL-02	1920	5.62	4.03	8.33	10.91	5.81	4.66	6.3	8.22	2.36	0.49	2.63	7.68	67.05
AL-02	1921	4.17	6.91	3.51	6.35	2.11	2.38	4.62	4.73	4.16	2.72	4.59	2.95	49.19
AL-02	1922	7.41	5.08	9.83	5.93	6.65	4.61	3.99	2.58	1.31	2.04	1.84	8.37	59.64
AL-02	1923	4.3	5.77	5.67	7.11	8.6	2.49	4.5	5.67	1.51	1.41	5.09	6.17	58.29
AL-02	1924	6.03	5.26	4.49	7.24	5.24	3.76	2.3	2.38	3.28	0.06	0.31	6.76	47.12
AL-02	1925	7.46	3.1	3.68	2.11	2.04	2.08	4.07	1.86	2.16	7.82	4.47	3.83	44.68
AL-02	1926	6.17	3.66	4.4	1.87	3.51	4.49	4.3	6.47	1.3	2.58	5.41	9.42	53.61
AL-02	1927	2.1	4.81	6.06	3.8	3.96	4.83	3.76	2.98	0.88	2.67	5.07	8.2	49.1
AL-02	1928	2.06	2.36	6.88	8.41	4.01	9.08	4.39	5.18	2.1	3.85	3.61	1.4	53.34
AL-02	1929	6.39	6.06	11.94	5.82	8.05	3.62	3.09	1.26	6.84	4.52	12.93	3.32	73.85
AL-02	1930	3.34	2.59	5.93	1.35	7.04	1.58	3.22	2.96	4.27	2.34	5.86	2.81	43.29
AL-02	1931	2.78	3.28	3.57	3.42	2.51	1.37	4.63	3.78	0.89	2.42	3.09	10.06	41.79
AL-02	1932	7.11	7.27	5.22	4.45	2.79	4.67	6.08	5.53	2.97	7.69	4.35	12.2	70.33
AL-02	1933	2.66	6	5.23	4.07	4.42	1.97	4.87	4.29	2.8	1.54	2.27	3.35	43.49
AL-02	1934	4.49	3.86	7.74	2.54	2.96	6.07	6.2	5.38	2.35	6.96	3.35	3.38	55.27
AL-02	1935	3.19	4.33	8.19	5.76	4.97	3.9	2.44	3.77	1.13	2.66	5.18	3.43	48.95
AL-02	1936	9.96	6.54	5.52	6.69	0.88	1.69	7.75	4.01	2.71	2.88	1.39	6.98	57.01
AL-02	1937	12.61	4.35	3.05	6.14	4.73	2.91	3.33	4.86	2.49	6.06	1.64	2.81	54.97
AL-02	1938	3.65	1.51	7.49	9.71	3.94	5.82	7.09	4.35	1.14	0.1	5.46	2.23	52.48
AL-02	1939	5.42	11.28	5.11	4.21	4.03	5.16	3.93	6.03	3.21	0.43	0.96	3.25	53.03
AL-02	1940	4.23	6.89	5.9	3.27	2.73	4.92	7.16	3.27	1.21	2.42	3.53	4.34	49.87
AL-02	1941	3.2	1.87	3.99	3.51	0.72	3.41	7.39	6.71	1.41	3.25	2.69	5.11	43.27
AL-02	1942	2.69	4.57	5.87	0.96	3.35	3.49	3.15	6.95	3.65	2.18	2.41	11.35	50.63
AL-02	1943	2.14	3.04	8.17	4.73	2.53	2.62	4.01	3.26	4.74	0.93	2.01	3.41	41.58
AL-02	1944	2.92	9.92	9.54	6.57	2.43	2.72	2.17	3.9	4.33	0.7	2.53	4.98	52.71
AL-02	1945	4.29	8.44	5.56	6.32	3.8	3.5	3.45	2.96	2.56	4.18	4.76	6.24	56.07
AL-02	1946	10.39	8.85	6.14	3.62	6.82	4.54	7.03	3.21	6.77	2.4	6.05	4.19	70.03
AL-02	1947	10.98	2.32	5.45	4.87	3.52	4.27	2.67	3.18	1.21	2.39	5.64	3.29	49.78
AL-02	1948	4.31	9.28	7.59	4.53	3.47	3.16	4.94	3.3	3.6	0.95	14.95	4.59	64.67
AL-02	1949	11.45	6.46	6.37	4.25	5.01	5.03	5.18	3.67	3.83	5.94	1.02	3.84	62.04
AL-02	1950	7.35	4.93	8.15	2.07	3.72	4.74	8.72	5.31	4.72	1.83	2.26	2.98	56.79
AL-02	1951	4.79	4.4	10.47	5.77	1.14	5.56	4.26	2.64	5.76	3.07	4.41	9.9	62.17
AL-02	1952	5.39	3.14	6.28	1.77	3.8	2.37	1.67	7.79	2.87	2.61	3.17	5.07	45.93
AL-02	1953	6.59	6.77	3.91	5.24	4.56	2.81	5.73	1.42	4.09	0.51	1.5	7.99	51.13
AL-02	1954	8.26	3.26	3.62	3.95	3.36	2.63	3.05	1.93	1.12	1.08	3.74	6	42.01
AL-02	1955	3.87	6.49	5.05	5.66	5.38	2.55	5.96	1.92	0.39	3.04	4.76	1.99	47.06
AL-02	1956	2.21	9.93	5.26	6.09	3.18	2.9	4.61	3.47	1.3	2.87	2.93	6.02	50.78
AL-02	1957	6.5	6.45	3.57	5.24	3.97	5.04	2.53	2.37	8.01	3.35	9.6	4.52	61.14
AL-02	1958	2.93	4.54	3.83	5.95	2.36	3.81	8.27	2.74	4.46	1.65	3.72	1.46	45.73
AL-02	1959	5.04	3.78	5.56	3.95	6.79	2.7	3.4	3.47	5.56	4.2	4.81	3.94	53.19
AL-02	1960	5.58	3.45	7.01	2.39	2.38	2.68	2.47	5.76	5.09	4.07	3.47	3.08	47.44
AL-02	1961	2.64	11.87	7.89	3.84	3.95	5.83	5.13	3.36	3.2	1.52	4.25	12.84	66.33
AL-02	1962	9.53	5.68	5.19	5.72	1.72	4.21	4.03	2.27	4.48	2.67	6.16	2.95	54.61
AL-02	1963	5.56	2.5	7.6	7.43	3.59	5.05	6.22	1.33	2	0.1	5	4.78	51.15
AL-02	1964	6.04	4.25	10.67	10.97	2.73	2.98	6.57	3.88	2.83	3.99	3.83	4.84	63.58
AL-02	1965	3.24	5.65	8.68	3.8	1.81	6.48	4.26	3.32	3.35	1.55	2.17	1.5	45.81
AL-02	1966	4.78	6.45	4.03	5.93	6.11	1.99	3.78	5.13	6.17	3.85	2.88	3.17	54.28
AL-02	1967	2.79	4.93	1.7	3.75	6.42	4.48	7.99	6.05	3.92	3.55	5.33	9.66	60.57
AL-02	1968	6.26	1.25	4.3	5.13	5.16	1.5	6.2	2.5	4.32	1.85	3.71	5.9	48.09
AL-02	1969	6.04	5.07	4.01	5.23	7.64	3.06	3.85	2.99	4.66	2.18	2.69	6.95	54.38
AL-02	1970	2.68	2.62	7.45	7.7	2.8	4.2	3.56	4.29	2.03	5.48	2.41	4.07	49.29
AL-02	1971	5.07	8.8	6.97	3.96	2.83	3.61	7.99	2.46	4.86	1.6	1.89	7.93	57.97
AL-02	1972	9.06	3.11	5.75	3.13	4.39	3.42	4.49	2.15	6.4	3.4	4.13	7.37	56.79
AL-02	1973	6.92	3.56	11.62	5.99	7.99	5.13	4.82	2.93	3.16	2.09	5.66	7.93	67.79
AL-02	1974	8.08	6.42	3.03	4.92	6.36	2.73	3.73	5.96	3.55	1.46	4.35	6.55	57.13
AL-02	1975	6.59	6.91	9.73	2.69	4.88	4.3	5.96	4.05	6.9	5.66	3.49	4.31	65.47
AL-02	1976	5.34	2.72	10.84	1.4	7.27	5.59	5.56	3.02	3.37	2.9	2.94	4.66	55.61
AL-02	1977	4.43	3.75	10.92	6.87	3.32	2.21	3.61	3.15	10.22	7.31	7.78	2.73	66.3
AL-02	1978	5.08	0.98	4.06	3.31	6.47	3.68	3.2	3.83	1.74	0.69	2.96	6.91	42.89
AL-02	1979	7.03	5.02	6.5	11.38	5.34	2.17	6.6	4.69	8.49	2.28	6.43	1.92	67.87
AL-02	1980	5.56	2.44	15.98	6.82	6.31	2.15	2.06	2.54	8.21	3	3.91	0.97	59.92
AL-02	1981	1.37	5.5	6.07	3.56	2.73	4.47	3.77	5.65	1.8	3.49	3.09	5.84	47.34
AL-02	1982	8.44	6.99	2.74	8.16	3.12	5.26	4.35	2.58	1.66	3.29	6.12	9.39	62.11
AL-02	1983	2.93	6.4	5.18	7.24	8.59	3.54	2.3	2.14	3.26	2.86	9.04	10.61	64.08
AL-02	1984	3.87	3.56	4.89	6.77	7.06	2.08	6.53	3.9	0.34	5.85	4.72	2.52	52.11
AL-02	1985	3.76	5.7	2.37	2.87	4.62	3.65	10.09	5.54	2.01	5.05	2.99	2.7	51.35
AL-02	1986	1.45	3.33	2.59	0.99	4.72	2.22	3.06	5.24	3.7	5.63	7.08	3.41	43.42
AL-02	1987	6.14	6.65	5.06	1.7	3.4	4.96	3.46	2.65	3.45	1.17	3.4	4.23	46.28
AL-02	1988	5.27	2.57	2.62	4.27	2.25	0.84	4.65	3.69	9.23	2.74	6.01	3.14	47.29
AL-02	1989	6.86	6.87	6.29	3.77	4.32	9.41	7.75	2.54	7.7	2.07	5.79	3.92	67.3
AL-02	1990	8.27	10.54	7.57	3.2	4.95	2.77	3.48	1.92	3.38	3.33	3.94	8.76	62.09
AL-02	1991	3.36	6.52	6.35	7.15	6.86	4.15	3.78	3.35	3.53	0.46	4.23	7.18	56.92
AL-02	1992	3.44	5.03	4.25	2.84	1.63	5.73	6.01	5.61	4.71	3.15	7.52	5.98	55.91
AL-02	1993	6.32	2.85	5.32	3.56	4.95	2.28	1.79	3.79	3.33	2.46	3.36	4.69	44.71
AL-02	1994	6.28	6.42	8.65	4.99	4.1	6.34	6.79	2.82	5.2	5.54	4.01	4.14	65.29
AL-02	1995	4.68	5.8	4.29	4.11	2.91	3.61	3.47	3.84	5.06	9.01	6.27	3.61	56.66
AL-02	1996	9.24	2.92	8.85	4.25	3.08	2.87	7.15	3.88	6.66	2.11	4.71	4.75	60.48
AL-02	1997	7.25	5.66	5.67	4.87	6.24	9.06	3.88	2.52	5.7	5.79	2.9	4.07	63.6
AL-02	1998	7.66	7.24	5.37	6.83	2.85	4.13	5.07	4.09	1.09	1.03	4.62	6.64	56.61
AL-02	1999	8.39	4.39	4.96	3.64	4.64	8.74	4.2	0.96	1.4	2.81	3.12	2.73	49.99
AL-02	2000	5.5	2.57	6.16	7.79	1.8	4.24	2.09	2.41	3.19	0.63	8.93	2.48	47.8
AL-02	2001	5.23	4.97	7.55	3.98	5.08	5.74	4.52	5.7	5.76	2.71	3.96	5.22	60.41
AL-02	2002	6.03	2.74	6.69	2.23	6.27	3.23	4.91	3.17	8.07	4.55	4.96	6.42	59.28
AL-02	2003	2.88	8.35	3.54	4.69	12.15	5.08	5.45	5.28	3.7	0.73	4.85	3.81	60.5
AL-02	2004	4.03	6.53	4.25	2.96	4.37	5.7	5.37	3.28	7.41	3.72	10.34	5.76	63.71
